date,category,dish_name
2026-05-18,主菜,芋香排骨
2026-05-18,主菜,滷雞翅
2026-05-18,副菜,玉米炒蛋
2026-05-18,副菜,紅絲豆芽
2026-05-18,青菜,莧菜
2026-05-19,主菜,蔭油里肌肉片
2026-05-19,主菜,茄汁雞丁
2026-05-19,副菜,滷花生
2026-05-19,副菜,芹菜炒豆干
2026-05-19,青菜,油菜
2026-05-20,主菜,漢堡堡
2026-05-20,副菜,洋蔥雞片燴飯
2026-05-20,副菜,冷凍毛豆仁
2026-05-21,主菜,油腐燉肉
2026-05-21,主菜,麻油雞
2026-05-21,副菜,青蔥炒蛋
2026-05-21,副菜,炒木須肉
2026-05-21,青菜,大陸妹
2026-05-22,主菜,紅燒旗魚
2026-05-22,主菜,洋蔥雞丁
2026-05-22,副菜,三色豆腐
2026-05-22,副菜,洋蔥炒黑輪
2026-05-22,青菜,地瓜葉
2026-05-25,主菜,京醬肉絲
2026-05-25,主菜,沙茶燒雞
2026-05-25,副菜,滷黑輪
2026-05-25,副菜,洋蔥燒麵筋
2026-05-25,青菜,青江菜
2026-05-26,主菜,醬瓜燉肉
2026-05-26,主菜,黑椒雞腿
2026-05-26,副菜,滷豆包
2026-05-26,副菜,火腿蒸蛋
2026-05-26,副菜,豆薯炒肉絲
2026-05-26,青菜,小白菜
2026-05-27,主菜,香菇肉末炒飯
2026-05-27,副菜,炒双花菜
2026-05-27,副菜,披薩
2026-05-27,青菜,空心菜
2026-05-28,主菜,蘿蔔排骨
2026-05-28,主菜,冬菜燒雞翅
2026-05-28,副菜,海帶結
2026-05-28,副菜,鮑菇炒蛋
2026-05-28,副菜,油腐炒芽菜
2026-05-28,青菜,莧菜
2026-05-29,主菜,浦燒鰻魚
2026-05-29,主菜,蔥爆雞丁
2026-05-29,副菜,滷鵪鶉蛋
2026-05-29,副菜,鮪魚鬆
2026-05-29,副菜,蔥燒豆腐
2026-05-29,青菜,油菜
2026-06-01,主菜,咖哩排骨
2026-06-01,主菜,咖哩雞丁
2026-06-01,副菜,沙茶甜不辣
2026-06-01,副菜,滷蛋
2026-06-01,青菜,大陸妹
2026-06-02,主菜,豬肉燴飯
2026-06-02,副菜,滷貢丸
2026-06-02,副菜,鮪魚鬆
2026-06-02,青菜,地瓜葉
2026-06-03,主菜,夏威夷炒飯
2026-06-03,主菜,菇菇雞肉燴飯
2026-06-04,主菜,黑椒里肌
2026-06-04,主菜,迷迭香雞丁
2026-06-04,副菜,滷豆腐
2026-06-04,副菜,小魚花生
2026-06-04,副菜,油炸花生
2026-06-04,副菜,蠔油芥蘭
2026-06-04,青菜,豆芽菜
2026-06-05,主菜,醬瓜絞肉
2026-06-05,副菜,滷素雞
2026-06-05,副菜,蝦皮蒸蛋
2026-06-05,副菜,蟹絲高麗菜
2026-06-05,青菜,小白菜
2026-06-08,主菜,腐乳肉絲
2026-06-08,主菜,洋菇雞丁
2026-06-08,副菜,滷豆腐
2026-06-08,副菜,榨菜炒蛋
2026-06-08,副菜,毛豆香腸
2026-06-08,青菜,空心菜
2026-06-09,主菜,炸雞腿
2026-06-09,主菜,宮保鴨片
2026-06-09,副菜,油炸花生米
2026-06-09,副菜,小瓜炒油腐
2026-06-09,副菜,韭菜炒肉絲
2026-06-09,青菜,莧菜
2026-06-10,主菜,雞肉蛋炒飯
2026-06-10,副菜,肉羹燴飯
2026-06-11,主菜,沙茶肉片
2026-06-11,主菜,菜脯燒雞
2026-06-11,副菜,滷冬瓜
2026-06-11,副菜,香菇蒸蛋
2026-06-11,副菜,豆干炒芽菜
2026-06-11,青菜,大陸妹
2026-06-12,主菜,蔭油燉肉
2026-06-12,主菜,蒜香雞翅
2026-06-12,副菜,滷米血
2026-06-12,副菜,包白絞肉
2026-06-12,副菜,金沙豆腐
2026-06-12,青菜,地瓜葉
